"miRNA","S_mirna"
"hsa-let-7g-5p",1.65659140619614
"hsa-let-7i-5p",2.73703330474551
"hsa-mir-101-3p",0.984243881980538
"hsa-mir-132-3p",2.4556103751227
"hsa-mir-137",1.20882554482902
"hsa-mir-142-5p",0.428990327690695
"hsa-mir-145-5p",5.08301995267962
"hsa-mir-146b-5p",0.511908611392086
"hsa-mir-148a-3p",3.50703019467951
"hsa-mir-150-5p",4.7608006579457
"hsa-mir-155-5p",1.32725859763162
"hsa-mir-15a-5p",4.40255797320838
"hsa-mir-15b-5p",0.716177096180387
"hsa-mir-16-5p",3.65478560533288
"hsa-mir-182-5p",0.0777274096230402
"hsa-mir-185-5p",3.52037165917815
"hsa-mir-192-5p",4.40255797320838
"hsa-mir-193b-3p",3.57651746819618
"hsa-mir-193b-5p",0.832682665251824
"hsa-mir-200c-3p",0.428990327690695
"hsa-mir-203a-3p",0.575404177450919
"hsa-mir-205-5p",2.53165266958784
"hsa-mir-20a-5p",4.9216237485886
"hsa-mir-20b-5p",2.65258866374247
"hsa-mir-21-5p",3.97803930733134
"hsa-mir-210-3p",2.34872198600186
"hsa-mir-214-3p",5.01149678264298
"hsa-mir-221-3p",2.19586056766465
"hsa-mir-222-3p",5.37028466735287
"hsa-mir-23a-3p",7.95955590163732
"hsa-mir-23b-3p",7.95955590163732
"hsa-mir-29a-3p",6.95139313376515
"hsa-mir-29b-3p",5.34601609262593
"hsa-mir-29c-3p",6.95826527815583
"hsa-mir-30d-5p",3.2004401652694
"hsa-mir-31-3p",2.45760553953929
"hsa-mir-31-5p",1.02585690009779
"hsa-mir-338-3p",1.00159533968038
"hsa-mir-342-3p",4.33208031468264
"hsa-mir-34a-3p",1.70774392864352
"hsa-mir-34a-5p",4.40255797320838
"hsa-mir-374b-3p",0.528136095865006
"hsa-mir-425-5p",3.58794483168764
"hsa-mir-4487",0.0423927129399047
"hsa-mir-4706",0.0735396477945269
"hsa-mir-4731-5p",0.331087641148961
"hsa-mir-509-3p",0.511908611392086
"hsa-mir-514a-3p",1.70774392864352
"hsa-mir-93-5p",3.2935667211008
